Region/Country/Area,Country/Area name,Year,Variables,Public expenditure on education (as of 2021)
398,Kazakhstan,2015,Basic access to computers by level of education: Primary,59.0
398,Kazakhstan,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.8
398,Kazakhstan,2018,All staff compensation as % of total expenditure in public institutions (%),68.7
398,Kazakhstan,2018,Capital expenditure as % of total expenditure in public institutions (%),4.5
398,Kazakhstan,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.0
398,Kazakhstan,2019,All staff compensation as % of total expenditure in public institutions (%),75.0
398,Kazakhstan,2019,Basic access to computers by level of education: Primary,70.1
398,Kazakhstan,2021,Basic access to computers by level of education: Primary,84.2
404,Kenya,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),31.6
404,Kenya,2015,All staff compensation as % of total expenditure in public institutions (%),60.9
404,Kenya,2015,Capital expenditure as % of total expenditure in public institutions (%),7.5
296,Kiribati,2015,Basic access to computers by level of education: Primary,15.1
296,Kiribati,2020,Basic access to computers by level of education: Primary,22.7
414,Kuwait,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),17.4
414,Kuwait,2005,All staff compensation as % of total expenditure in public institutions (%),74.9
414,Kuwait,2005,Capital expenditure as % of total expenditure in public institutions (%),7.7
414,Kuwait,2015,Basic access to computers by level of education: Primary,100.0
414,Kuwait,2021,Basic access to computers by level of education: Primary,100.0
414,Kuwait,2021,Basic access to computers by level of education: Lower secondary,100
414,Kuwait,2021,Basic access to computers by level of education: Upper secondary,100
417,Kyrgyzstan,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),28.4
417,Kyrgyzstan,2005,All staff compensation as % of total expenditure in public institutions (%),66.2
417,Kyrgyzstan,2005,Capital expenditure as % of total expenditure in public institutions (%),5.4
417,Kyrgyzstan,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),29.1
417,Kyrgyzstan,2010,All staff compensation as % of total expenditure in public institutions (%),64.5
417,Kyrgyzstan,2010,Capital expenditure as % of total expenditure in public institutions (%),6.5
417,Kyrgyzstan,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.2
417,Kyrgyzstan,2015,All staff compensation as % of total expenditure in public institutions (%),68.1
417,Kyrgyzstan,2015,Capital expenditure as % of total expenditure in public institutions (%),15.7
417,Kyrgyzstan,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.4
417,Kyrgyzstan,2017,All staff compensation as % of total expenditure in public institutions (%),70.7
417,Kyrgyzstan,2017,Capital expenditure as % of total expenditure in public institutions (%),14.9
417,Kyrgyzstan,2017,Basic access to computers by level of education: Primary,88.8
417,Kyrgyzstan,2017,Basic access to computers by level of education: Lower secondary,89
417,Kyrgyzstan,2017,Basic access to computers by level of education: Upper secondary,86
417,Kyrgyzstan,2021,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.4
417,Kyrgyzstan,2021,All staff compensation as % of total expenditure in public institutions (%),79.5
417,Kyrgyzstan,2021,Capital expenditure as % of total expenditure in public institutions (%),9.1
417,Kyrgyzstan,2021,Basic access to computers by level of education: Upper secondary,95
417,Kyrgyzstan,2023,Basic access to computers by level of education: Upper secondary,96
418,Lao People's Dem. Rep.,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.7
418,Lao People's Dem. Rep.,2010,All staff compensation as % of total expenditure in public institutions (%),65.0
418,Lao People's Dem. Rep.,2010,Capital expenditure as % of total expenditure in public institutions (%),18.3
418,Lao People's Dem. Rep.,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.4
418,Lao People's Dem. Rep.,2014,All staff compensation as % of total expenditure in public institutions (%),72.6
418,Lao People's Dem. Rep.,2014,Capital expenditure as % of total expenditure in public institutions (%),15.0
428,Latvia,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.9
428,Latvia,2004,All staff compensation as % of total expenditure in public institutions (%),69.7
428,Latvia,2004,Capital expenditure as % of total expenditure in public institutions (%),8.4
428,Latvia,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.6
428,Latvia,2010,All staff compensation as % of total expenditure in public institutions (%),65.7
428,Latvia,2010,Capital expenditure as % of total expenditure in public institutions (%),12.7
428,Latvia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.8
428,Latvia,2015,All staff compensation as % of total expenditure in public institutions (%),60.5
428,Latvia,2015,Capital expenditure as % of total expenditure in public institutions (%),15.6
428,Latvia,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.3
428,Latvia,2016,All staff compensation as % of total expenditure in public institutions (%),65.3
428,Latvia,2016,Capital expenditure as % of total expenditure in public institutions (%),9.3
428,Latvia,2016,Basic access to computers by level of education: Primary,100.0
428,Latvia,2016,Basic access to computers by level of education: Lower secondary,100
428,Latvia,2016,Basic access to computers by level of education: Upper secondary,100
428,Latvia,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.6
428,Latvia,2020,All staff compensation as % of total expenditure in public institutions (%),66.6
428,Latvia,2020,Capital expenditure as % of total expenditure in public institutions (%),14.8
428,Latvia,2021,Basic access to computers by level of education: Primary,57.8
422,Lebanon,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),1.6
422,Lebanon,2005,All staff compensation as % of total expenditure in public institutions (%),94.7
422,Lebanon,2005,Capital expenditure as % of total expenditure in public institutions (%),3.7
422,Lebanon,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),0.1
422,Lebanon,2010,All staff compensation as % of total expenditure in public institutions (%),88.0
422,Lebanon,2010,Capital expenditure as % of total expenditure in public institutions (%),11.9
422,Lebanon,2011,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),0.1
422,Lebanon,2011,All staff compensation as % of total expenditure in public institutions (%),86.8
422,Lebanon,2011,Capital expenditure as % of total expenditure in public institutions (%),13.1
422,Lebanon,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),2.4
422,Lebanon,2013,All staff compensation as % of total expenditure in public institutions (%),97.6
422,Lebanon,2022,Basic access to computers by level of education: Primary,70.1
422,Lebanon,2022,Basic access to computers by level of education: Lower secondary,81
422,Lebanon,2022,Basic access to computers by level of education: Upper secondary,90
426,Lesotho,2001,Capital expenditure as % of total expenditure in public institutions (%),8.7
426,Lesotho,2008,Capital expenditure as % of total expenditure in public institutions (%),1.7
426,Lesotho,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),3.6
426,Lesotho,2018,All staff compensation as % of total expenditure in public institutions (%),92.9
426,Lesotho,2018,Capital expenditure as % of total expenditure in public institutions (%),3.5
430,Liberia,2008,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),47.4
430,Liberia,2008,All staff compensation as % of total expenditure in public institutions (%),41.4
430,Liberia,2008,Capital expenditure as % of total expenditure in public institutions (%),11.2
430,Liberia,2020,Basic access to computers by level of education: Primary,8.2
430,Liberia,2020,Basic access to computers by level of education: Lower secondary,17
430,Liberia,2020,Basic access to computers by level of education: Upper secondary,30
438,Liechtenstein,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.9
438,Liechtenstein,2010,All staff compensation as % of total expenditure in public institutions (%),68.4
438,Liechtenstein,2010,Capital expenditure as % of total expenditure in public institutions (%),12.6
438,Liechtenstein,2011,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.7
438,Liechtenstein,2011,All staff compensation as % of total expenditure in public institutions (%),73.9
438,Liechtenstein,2011,Capital expenditure as % of total expenditure in public institutions (%),5.4
440,Lithuania,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.1
440,Lithuania,2005,All staff compensation as % of total expenditure in public institutions (%),73.0
440,Lithuania,2005,Capital expenditure as % of total expenditure in public institutions (%),6.8
440,Lithuania,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),19.5
440,Lithuania,2010,All staff compensation as % of total expenditure in public institutions (%),72.9
440,Lithuania,2010,Capital expenditure as % of total expenditure in public institutions (%),7.6
440,Lithuania,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.1
440,Lithuania,2015,All staff compensation as % of total expenditure in public institutions (%),67.5
440,Lithuania,2015,Capital expenditure as % of total expenditure in public institutions (%),12.4
440,Lithuania,2015,Basic access to computers by level of education: Primary,55.0
440,Lithuania,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),19.7
440,Lithuania,2020,All staff compensation as % of total expenditure in public institutions (%),68.7
440,Lithuania,2020,Capital expenditure as % of total expenditure in public institutions (%),11.5
440,Lithuania,2020,Basic access to computers by level of education: Primary,98.4
440,Lithuania,2020,Basic access to computers by level of education: Lower secondary,99
440,Lithuania,2020,Basic access to computers by level of education: Upper secondary,100
440,Lithuania,2022,Basic access to computers by level of education: Primary,95.8
440,Lithuania,2022,Basic access to computers by level of education: Lower secondary,97
440,Lithuania,2022,Basic access to computers by level of education: Upper secondary,91
442,Luxembourg,2001,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.2
442,Luxembourg,2001,All staff compensation as % of total expenditure in public institutions (%),71.3
442,Luxembourg,2001,Capital expenditure as % of total expenditure in public institutions (%),17.5
442,Luxembourg,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.1
442,Luxembourg,2015,All staff compensation as % of total expenditure in public institutions (%),76.1
442,Luxembourg,2015,Capital expenditure as % of total expenditure in public institutions (%),9.8
442,Luxembourg,2015,Basic access to computers by level of education: Primary,100.0
442,Luxembourg,2015,Basic access to computers by level of education: Lower secondary,100
442,Luxembourg,2015,Basic access to computers by level of education: Upper secondary,100
442,Luxembourg,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.6
442,Luxembourg,2020,All staff compensation as % of total expenditure in public institutions (%),73.8
442,Luxembourg,2020,Capital expenditure as % of total expenditure in public institutions (%),9.6
442,Luxembourg,2020,Basic access to computers by level of education: Primary,100.0
442,Luxembourg,2020,Basic access to computers by level of education: Lower secondary,100
442,Luxembourg,2020,Basic access to computers by level of education: Upper secondary,100
442,Luxembourg,2021,Basic access to computers by level of education: Primary,100.0
442,Luxembourg,2021,Basic access to computers by level of education: Lower secondary,100
442,Luxembourg,2021,Basic access to computers by level of education: Upper secondary,100
450,Madagascar,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.4
450,Madagascar,2005,All staff compensation as % of total expenditure in public institutions (%),43.8
450,Madagascar,2005,Capital expenditure as % of total expenditure in public institutions (%),31.8
450,Madagascar,2008,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),31.3
450,Madagascar,2008,All staff compensation as % of total expenditure in public institutions (%),58.7
450,Madagascar,2008,Capital expenditure as % of total expenditure in public institutions (%),10.0
450,Madagascar,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),29.5
450,Madagascar,2013,All staff compensation as % of total expenditure in public institutions (%),67.4
450,Madagascar,2013,Capital expenditure as % of total expenditure in public institutions (%),3.1
450,Madagascar,2022,Basic access to computers by level of education: Primary,3.0
450,Madagascar,2022,Basic access to computers by level of education: Lower secondary,16
450,Madagascar,2022,Basic access to computers by level of education: Upper secondary,35
454,Malawi,2010,Capital expenditure as % of total expenditure in public institutions (%),4.9
454,Malawi,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.5
454,Malawi,2013,All staff compensation as % of total expenditure in public institutions (%),71.7
454,Malawi,2013,Capital expenditure as % of total expenditure in public institutions (%),13.8
454,Malawi,2015,Capital expenditure as % of total expenditure in public institutions (%),1.2
454,Malawi,2016,Capital expenditure as % of total expenditure in public institutions (%),3.1
454,Malawi,2016,Basic access to computers by level of education: Upper secondary,44
454,Malawi,2019,Basic access to computers by level of education: Primary,8.5
458,Malaysia,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.2
458,Malaysia,2004,All staff compensation as % of total expenditure in public institutions (%),56.8
458,Malaysia,2004,Capital expenditure as % of total expenditure in public institutions (%),13.1
458,Malaysia,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.7
458,Malaysia,2009,All staff compensation as % of total expenditure in public institutions (%),68.8
458,Malaysia,2009,Capital expenditure as % of total expenditure in public institutions (%),15.5
458,Malaysia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),28.7
458,Malaysia,2015,All staff compensation as % of total expenditure in public institutions (%),65.7
458,Malaysia,2015,Capital expenditure as % of total expenditure in public institutions (%),5.6
458,Malaysia,2021,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.6
458,Malaysia,2021,All staff compensation as % of total expenditure in public institutions (%),82.8
458,Malaysia,2021,Capital expenditure as % of total expenditure in public institutions (%),5.6
458,Malaysia,2021,Basic access to computers by level of education: Primary,99.6
458,Malaysia,2021,Basic access to computers by level of education: Lower secondary,100
458,Malaysia,2021,Basic access to computers by level of education: Upper secondary,97
458,Malaysia,2022,Basic access to computers by level of education: Primary,88.2
458,Malaysia,2022,Basic access to computers by level of education: Lower secondary,96
458,Malaysia,2022,Basic access to computers by level of education: Upper secondary,94
462,Maldives,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.9
462,Maldives,2010,All staff compensation as % of total expenditure in public institutions (%),77.8
462,Maldives,2010,Capital expenditure as % of total expenditure in public institutions (%),1.3
462,Maldives,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),44.6
462,Maldives,2015,All staff compensation as % of total expenditure in public institutions (%),54.4
462,Maldives,2015,Capital expenditure as % of total expenditure in public institutions (%),0.9
462,Maldives,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),39.7
462,Maldives,2016,All staff compensation as % of total expenditure in public institutions (%),59.6
462,Maldives,2016,Capital expenditure as % of total expenditure in public institutions (%),0.7
462,Maldives,2019,Basic access to computers by level of education: Primary,73.0
462,Maldives,2019,Basic access to computers by level of education: Lower secondary,81
462,Maldives,2019,Basic access to computers by level of education: Upper secondary,68
466,Mali,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),40.9
466,Mali,2010,All staff compensation as % of total expenditure in public institutions (%),54.1
466,Mali,2010,Capital expenditure as % of total expenditure in public institutions (%),5.0
466,Mali,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),34.4
466,Mali,2015,All staff compensation as % of total expenditure in public institutions (%),61.8
466,Mali,2015,Capital expenditure as % of total expenditure in public institutions (%),3.8
466,Mali,2021,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.8
466,Mali,2021,All staff compensation as % of total expenditure in public institutions (%),73.2
466,Mali,2021,Capital expenditure as % of total expenditure in public institutions (%),2.0
470,Malta,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.5
470,Malta,2004,All staff compensation as % of total expenditure in public institutions (%),79.9
470,Malta,2004,Capital expenditure as % of total expenditure in public institutions (%),5.6
470,Malta,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),17.5
470,Malta,2010,All staff compensation as % of total expenditure in public institutions (%),72.4
470,Malta,2010,Capital expenditure as % of total expenditure in public institutions (%),10.1
470,Malta,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),13.7
470,Malta,2015,All staff compensation as % of total expenditure in public institutions (%),72.7
470,Malta,2015,Capital expenditure as % of total expenditure in public institutions (%),13.6
470,Malta,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.5
470,Malta,2019,All staff compensation as % of total expenditure in public institutions (%),71.7
470,Malta,2019,Capital expenditure as % of total expenditure in public institutions (%),12.8
470,Malta,2019,Basic access to computers by level of education: Primary,99.0
584,Marshall Islands,2002,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.6
584,Marshall Islands,2002,All staff compensation as % of total expenditure in public institutions (%),75.0
584,Marshall Islands,2002,Capital expenditure as % of total expenditure in public institutions (%),2.4
584,Marshall Islands,2006,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),42.8
584,Marshall Islands,2006,All staff compensation as % of total expenditure in public institutions (%),35.8
584,Marshall Islands,2006,Capital expenditure as % of total expenditure in public institutions (%),21.4
584,Marshall Islands,2022,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.7
584,Marshall Islands,2022,All staff compensation as % of total expenditure in public institutions (%),73.3
584,Marshall Islands,2022,Basic access to computers by level of education: Primary,26.1
584,Marshall Islands,2022,Basic access to computers by level of education: Lower secondary,27
584,Marshall Islands,2022,Basic access to computers by level of education: Upper secondary,61
478,Mauritania,2016,Basic access to computers by level of education: Primary,13.4
478,Mauritania,2016,Basic access to computers by level of education: Lower secondary,100
478,Mauritania,2016,Basic access to computers by level of education: Upper secondary,100
478,Mauritania,2017,Basic access to computers by level of education: Primary,14.0
478,Mauritania,2017,Basic access to computers by level of education: Upper secondary,100
480,Mauritius,2010,Capital expenditure as % of total expenditure in public institutions (%),13.5
480,Mauritius,2015,Basic access to computers by level of education: Primary,100.0
480,Mauritius,2015,Basic access to computers by level of education: Lower secondary,100
480,Mauritius,2015,Basic access to computers by level of education: Upper secondary,100
480,Mauritius,2021,Basic access to computers by level of education: Primary,97.8
480,Mauritius,2021,Basic access to computers by level of education: Lower secondary,100
480,Mauritius,2021,Basic access to computers by level of education: Upper secondary,100
484,Mexico,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.2
484,Mexico,2005,All staff compensation as % of total expenditure in public institutions (%),85.7
484,Mexico,2005,Capital expenditure as % of total expenditure in public institutions (%),3.1
484,Mexico,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),10.3
484,Mexico,2010,All staff compensation as % of total expenditure in public institutions (%),85.7
484,Mexico,2010,Capital expenditure as % of total expenditure in public institutions (%),3.9
484,Mexico,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.8
484,Mexico,2013,All staff compensation as % of total expenditure in public institutions (%),83.8
484,Mexico,2013,Capital expenditure as % of total expenditure in public institutions (%),4.4
484,Mexico,2013,Basic access to computers by level of education: Primary,48.0
484,Mexico,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.9
484,Mexico,2015,All staff compensation as % of total expenditure in public institutions (%),85.1
484,Mexico,2015,Capital expenditure as % of total expenditure in public institutions (%),3.1
484,Mexico,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.9
484,Mexico,2020,All staff compensation as % of total expenditure in public institutions (%),85.0
484,Mexico,2020,Capital expenditure as % of total expenditure in public institutions (%),2.1
484,Mexico,2021,Basic access to computers by level of education: Primary,47.0
484,Mexico,2021,Basic access to computers by level of education: Lower secondary,60
484,Mexico,2021,Basic access to computers by level of education: Upper secondary,70
583,Micronesia (Fed. States of),2022,Basic access to computers by level of education: Primary,32.2
583,Micronesia (Fed. States of),2022,Basic access to computers by level of education: Lower secondary,33
583,Micronesia (Fed. States of),2022,Basic access to computers by level of education: Upper secondary,80
492,Monaco,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),2.1
492,Monaco,2004,All staff compensation as % of total expenditure in public institutions (%),90.9
492,Monaco,2004,Capital expenditure as % of total expenditure in public institutions (%),7.0
492,Monaco,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),8.4
492,Monaco,2010,All staff compensation as % of total expenditure in public institutions (%),90.7
492,Monaco,2010,Capital expenditure as % of total expenditure in public institutions (%),0.9
492,Monaco,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),8.5
492,Monaco,2015,All staff compensation as % of total expenditure in public institutions (%),83.7
492,Monaco,2015,Capital expenditure as % of total expenditure in public institutions (%),7.8
492,Monaco,2022,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),7.6
492,Monaco,2022,All staff compensation as % of total expenditure in public institutions (%),47.4
492,Monaco,2022,Capital expenditure as % of total expenditure in public institutions (%),44.9
492,Monaco,2022,Basic access to computers by level of education: Primary,100.0
492,Monaco,2022,Basic access to computers by level of education: Lower secondary,100
492,Monaco,2022,Basic access to computers by level of education: Upper secondary,100
492,Monaco,2023,Basic access to computers by level of education: Primary,100.0
492,Monaco,2023,Basic access to computers by level of education: Lower secondary,100
492,Monaco,2023,Basic access to computers by level of education: Upper secondary,100
496,Mongolia,2000,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),55.8
496,Mongolia,2000,All staff compensation as % of total expenditure in public institutions (%),43.4
496,Mongolia,2000,Capital expenditure as % of total expenditure in public institutions (%),0.8
496,Mongolia,2002,Capital expenditure as % of total expenditure in public institutions (%),4.9
496,Mongolia,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),98.3
496,Mongolia,2013,All staff compensation as % of total expenditure in public institutions (%),1.7
496,Mongolia,2013,Capital expenditure as % of total expenditure in public institutions (%),0.0
496,Mongolia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),98.1
496,Mongolia,2015,All staff compensation as % of total expenditure in public institutions (%),1.9
496,Mongolia,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.8
496,Mongolia,2016,All staff compensation as % of total expenditure in public institutions (%),59.2
496,Mongolia,2016,Capital expenditure as % of total expenditure in public institutions (%),14.0
496,Mongolia,2016,Basic access to computers by level of education: Lower secondary,92
496,Mongolia,2016,Basic access to computers by level of education: Upper secondary,91
496,Mongolia,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.8
496,Mongolia,2017,All staff compensation as % of total expenditure in public institutions (%),69.3
496,Mongolia,2017,Capital expenditure as % of total expenditure in public institutions (%),8.9
499,Montenegro,2021,Basic access to computers by level of education: Primary,51.1
500,Montserrat,2001,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),27.5
500,Montserrat,2001,All staff compensation as % of total expenditure in public institutions (%),41.4
500,Montserrat,2001,Capital expenditure as % of total expenditure in public institutions (%),31.2
500,Montserrat,2010,Basic access to computers by level of education: Primary,50.0
500,Montserrat,2010,Basic access to computers by level of education: Lower secondary,100
500,Montserrat,2010,Basic access to computers by level of education: Upper secondary,100
500,Montserrat,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),31.8
500,Montserrat,2019,All staff compensation as % of total expenditure in public institutions (%),55.5
500,Montserrat,2019,Capital expenditure as % of total expenditure in public institutions (%),12.7
500,Montserrat,2019,Basic access to computers by level of education: Primary,100.0
500,Montserrat,2019,Basic access to computers by level of education: Lower secondary,100
500,Montserrat,2019,Basic access to computers by level of education: Upper secondary,100
504,Morocco,2015,Basic access to computers by level of education: Primary,84.6
504,Morocco,2022,Basic access to computers by level of education: Primary,77.2
504,Morocco,2022,Basic access to computers by level of education: Lower secondary,87
504,Morocco,2022,Basic access to computers by level of education: Upper secondary,91
508,Mozambique,2005,Capital expenditure as % of total expenditure in public institutions (%),22.6
508,Mozambique,2006,Capital expenditure as % of total expenditure in public institutions (%),26.8
508,Mozambique,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.2
508,Mozambique,2013,All staff compensation as % of total expenditure in public institutions (%),58.5
508,Mozambique,2013,Capital expenditure as % of total expenditure in public institutions (%),19.3
104,Myanmar,2011,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.3
104,Myanmar,2011,All staff compensation as % of total expenditure in public institutions (%),77.2
104,Myanmar,2011,Capital expenditure as % of total expenditure in public institutions (%),13.4
104,Myanmar,2012,Basic access to computers by level of education: Primary,0.6
104,Myanmar,2018,Basic access to computers by level of education: Primary,0.5
104,Myanmar,2018,Basic access to computers by level of education: Lower secondary,3
104,Myanmar,2018,Basic access to computers by level of education: Upper secondary,25
104,Myanmar,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.0
104,Myanmar,2019,All staff compensation as % of total expenditure in public institutions (%),56.6
104,Myanmar,2019,Capital expenditure as % of total expenditure in public institutions (%),25.4
516,Namibia,2000,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),19.3
516,Namibia,2000,All staff compensation as % of total expenditure in public institutions (%),73.6
516,Namibia,2000,Capital expenditure as % of total expenditure in public institutions (%),7.2
516,Namibia,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.1
516,Namibia,2010,All staff compensation as % of total expenditure in public institutions (%),77.0
516,Namibia,2010,Capital expenditure as % of total expenditure in public institutions (%),0.8
516,Namibia,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),3.5
516,Namibia,2014,All staff compensation as % of total expenditure in public institutions (%),89.1
516,Namibia,2014,Capital expenditure as % of total expenditure in public institutions (%),7.4
516,Namibia,2022,Basic access to computers by level of education: Primary,65.3
516,Namibia,2022,Basic access to computers by level of education: Upper secondary,85
520,Nauru,2007,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.8
520,Nauru,2007,All staff compensation as % of total expenditure in public institutions (%),56.9
520,Nauru,2020,Basic access to computers by level of education: Primary,100.0
520,Nauru,2020,Basic access to computers by level of education: Lower secondary,100
520,Nauru,2020,Basic access to computers by level of education: Upper secondary,100
520,Nauru,2022,Basic access to computers by level of education: Primary,0.0
520,Nauru,2022,Basic access to computers by level of education: Upper secondary,100
524,Nepal,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.0
524,Nepal,2010,All staff compensation as % of total expenditure in public institutions (%),69.2
524,Nepal,2010,Capital expenditure as % of total expenditure in public institutions (%),12.8
524,Nepal,2011,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.7
524,Nepal,2011,All staff compensation as % of total expenditure in public institutions (%),63.4
524,Nepal,2011,Capital expenditure as % of total expenditure in public institutions (%),13.9
524,Nepal,2011,Basic access to computers by level of education: Primary,0.3
524,Nepal,2011,Basic access to computers by level of education: Lower secondary,1
524,Nepal,2011,Basic access to computers by level of education: Upper secondary,8
524,Nepal,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.9
524,Nepal,2015,All staff compensation as % of total expenditure in public institutions (%),64.1
524,Nepal,2015,Capital expenditure as % of total expenditure in public institutions (%),11.0
524,Nepal,2023,Basic access to computers by level of education: Primary,19.2
524,Nepal,2023,Basic access to computers by level of education: Lower secondary,31
524,Nepal,2023,Basic access to computers by level of education: Upper secondary,73
528,Netherlands (Kingdom of the),2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),17.5
528,Netherlands (Kingdom of the),2005,All staff compensation as % of total expenditure in public institutions (%),69.8
528,Netherlands (Kingdom of the),2005,Capital expenditure as % of total expenditure in public institutions (%),12.7
528,Netherlands (Kingdom of the),2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.5
528,Netherlands (Kingdom of the),2010,All staff compensation as % of total expenditure in public institutions (%),69.6
528,Netherlands (Kingdom of the),2010,Capital expenditure as % of total expenditure in public institutions (%),11.9
528,Netherlands (Kingdom of the),2010,Basic access to computers by level of education: Primary,100.0
528,Netherlands (Kingdom of the),2010,Basic access to computers by level of education: Lower secondary,100
528,Netherlands (Kingdom of the),2010,Basic access to computers by level of education: Upper secondary,100
528,Netherlands (Kingdom of the),2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.8
528,Netherlands (Kingdom of the),2015,All staff compensation as % of total expenditure in public institutions (%),67.8
528,Netherlands (Kingdom of the),2015,Capital expenditure as % of total expenditure in public institutions (%),11.4
528,Netherlands (Kingdom of the),2015,Basic access to computers by level of education: Primary,100.0
528,Netherlands (Kingdom of the),2015,Basic access to computers by level of education: Lower secondary,100
528,Netherlands (Kingdom of the),2015,Basic access to computers by level of education: Upper secondary,100
528,Netherlands (Kingdom of the),2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.1
528,Netherlands (Kingdom of the),2020,All staff compensation as % of total expenditure in public institutions (%),70.8
528,Netherlands (Kingdom of the),2020,Capital expenditure as % of total expenditure in public institutions (%),11.1
528,Netherlands (Kingdom of the),2020,Basic access to computers by level of education: Primary,100.0
528,Netherlands (Kingdom of the),2020,Basic access to computers by level of education: Lower secondary,100
528,Netherlands (Kingdom of the),2020,Basic access to computers by level of education: Upper secondary,100
